SampleID,SwabID,Sample_Date,Location,Lat,Lon,Species,Sp_Abv,TTX_nmol_mg,TTX_mg,mass_g,svl_mm,sex,breeding_condition,DateDNAExtracted,zoospore_estimates,Log_bd,infected,ReadCount,observed_features,faith_pd,shannon_entropy,pielou_evenness,ExpShannon,antifungal_ASVs,antifungal_reads,Propor_TotalAntiFungal,TTX_Richness,TotalTTX,Propor_TotalTTX,TTX_Real,TTX_RelativeAbundance,Notes
GRP-24,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,5.17,15,78.7,M,,,4180,3.62128016755041,1,5000,39,4.95810299272534,3.50431921485494,0.66301845531243,NA,26,1908,0.3816,1,2,0.000909090909090909,High,0.0306748466257669,NA
GRP-25,Swab,06/05/21,GRP,44.640211,-123.28802,Taricha_granulosa,Tg,NA,4.908,14,77.6,M,,,602,2.78031731214015,1,13840,102,8.74433527775921,4.86472391003102,0.729078807286235,NA,49,7278,0.525867052023121,2,7,0.00318181818181818,High,0.0285167230211431,NA
LSSP-01,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.119,11,72.1,M,,,0,0,0,6520,40,2.64273144261074,2.96851174933465,0.557788774370406,NA,35,6523,1.00046012269939,3,254,0.115454545454545,Low,2.34533702677747,NA
LSSP-02,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.598,15,80.3,F,,,0,0,0,5867,46,4.19673418441857,2.72673372450776,0.493654954212595,NA,53,5671,0.966592807226862,4,90,0.0409090909090909,Low,0.554631170271769,Shedding skin
LSSP-03,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.6,14,77.2,M,,,0,0,0,3431,42,2.68171785625873,3.94836671908926,0.732220752140847,NA,39,3121,0.909647333139027,1,28,0.0127272727272727,Low,0.0783830692570405,NA
LSSP-04,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.34,16,77.4,M,,,0,0,0,9467,57,5.30565541763781,3.39550183609798,0.582130269532299,NA,27,6949,0.734023449878525,1,2,0.000909090909090909,Low,0.00858258593314166,Odd speckling (took photo)
LSSP-05,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.203,17,82.8,M,,,0,0,0,5208,82,7.101203203414,4.84692250098552,0.7623881798316,NA,48,1658,0.318356374807988,4,253,0.115,Low,4.84581497797357,NA
LSSP-06,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.158,12,73,F,,,0,0,0,5557,65,5.31450128286542,4.20705767760828,0.698572024861544,NA,60,3535,0.636134605002699,2,16,0.00727272727272727,Low,0.358583594800538,NA
LSSP-07,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.185,14,79.2,M,,,0,0,0,4754,94,7.00933254645759,5.23226820897126,0.79826032225226,NA,67,3282,0.69036600757257,2,20,0.00909090909090909,Low,0.158277936055714,NA
LSSP-08,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.217,17,82.3,M,,,0,0,0,4481,78,6.95155338493782,4.91357374348764,0.781743724966748,NA,51,3616,0.80696273153314,2,43,0.0195454545454545,Low,0.291683625016958,NA
LSSP-09,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.158,11,70.7,F,,,0,0,0,3317,98,7.29615173543255,6.07963237422716,0.919107945397774,NA,70,2005,0.604461863129334,1,12,0.00545454545454545,Low,0.213941879122838,Odd speckling (took photo)
LSSP-10,Swab,05/24/21,LSSP,47.002435,-123.589958,Taricha_granulosa,Tg,NA,0.411,12,70,M,,,0,0,0,5841,56,5.75216384526641,3.6901208827089,0.63542196615072,NA,50,1449,0.248073959938367,3,161,0.0731818181818182,Low,0.692741276192935,NA
SLNF-01,Swab,05/24/22,LSSP,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.583,8,68,M,,,17400,4.24057420701838,1,2102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
SLNF-02,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.359,10,69.2,F,,,1700,3.23070431361257,1,6671,47,5.49864065400834,3.66937548387147,0.660602536362923,NA,32,3475,0.52091140758507,1,2,0.000909090909090909,Low,0.0359906424329674,Potent smell and more than usual foam
SLNF-03,Swab,07/15/21,SLNF,44.21835,-121.89018,Taricha_granulosa,Tg,NA,0.284,19,79,M,,,0,0,0,4905,56,5.74248727013173,4.24207280988257,0.730465567683877,NA,25,1896,0.386544342507645,1,4,0.00181818181818182,Low,0.100755667506297,Dropped most of first mucosome bath; Potent smell and more than usual foam
SLNF-04,Swab,07/15/22,SLNF,45.21835,-120.89018,Taricha_granulosa,Tg,NA,0.503,9,70,F,,,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Low,NA,
